,url,scheme,netloc,path,query,fragment,dir_1,dir_2,dir_3,dir_4,dir_5,dir_6,last_dir,query_topic,query_publish_type,query_chart-range,query_filter-broken-pages,query_keyword,query_field,query_country,query_published,query_target,query_filter-traffic,query_redirect_uri,query_department,query_safe-search,query_report-authors,query_report-websites,query_report-languages,query_results-per-page,query_page,query_filter-domain_rating,query_list,query_filter-refdomains,query_first_seen,query_response_type,query_client_id,query_scope,query_exclude-homepages,query_one-article-per-domain,query_mtm_campaign
0,https://ahrefs.com/,https,ahrefs.com,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,https://ahrefs.com/blog/,https,ahrefs.com,/blog/,,,blog,,,,,,blog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://ahrefs.com/keywords-explorer,https,ahrefs.com,/keywords-explorer,,,keywords-explorer,,,,,,keywords-explorer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://ahrefs.com/academy/how-to-use-ahrefs,https,ahrefs.com,/academy/how-to-use-ahrefs,,,academy,how-to-use-ahrefs,,,,,how-to-use-ahrefs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,https://ahrefs.com/academy,https,ahrefs.com,/academy,,,academy,,,,,,academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,https://ahrefs.com/rank-tracker,https,ahrefs.com,/rank-tracker,,,rank-tracker,,,,,,rank-tracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,https://ahrefs.com/site-audit,https,ahrefs.com,/site-audit,,,site-audit,,,,,,site-audit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,https://ahrefs.com/webmaster-tools,https,ahrefs.com,/webmaster-tools,,,webmaster-tools,,,,,,webmaster-tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,https://ahrefs.com/content-explorer,https,ahrefs.com,/content-explorer,,,content-explorer,,,,,,content-explorer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://ahrefs.com/site-explorer,https,ahrefs.com,/site-explorer,,,site-explorer,,,,,,site-explorer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,https://ahrefs.com/pricing,https,ahrefs.com,/pricing,,,pricing,,,,,,pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,https://ahrefs.com/enterprise,https,ahrefs.com,/enterprise,,,enterprise,,,,,,enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,https://ahrefs.com/big-data,https,ahrefs.com,/big-data,,,big-data,,,,,,big-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,https://ahrefs.com/jobs,https,ahrefs.com,/jobs,,,jobs,,,,,,jobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,https://ahrefs.com/free-seo-tools,https,ahrefs.com,/free-seo-tools,,,free-seo-tools,,,,,,free-seo-tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,https://app.ahrefs.com/user/login,https,app.ahrefs.com,/user/login,,,user,login,,,,,login,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,https://ahrefs.com/blog/category/product-blog/,https,ahrefs.com,/blog/category/product-blog/,,,blog,category,product-blog,,,,product-blog,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,https://ahrefs.com/blog/category/content-marketing/,https,ahrefs.com,/blog/category/content-marketing/,,,blog,category,content-marketing,,,,content-marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,https://ahrefs.com/blog/category/marketing/,https,ahrefs.com,/blog/category/marketing/,,,blog,category,marketing,,,,marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,https://ahrefs.com/blog/category/data-studies/,https,ahrefs.com,/blog/category/data-studies/,,,blog,category,data-studies,,,,data-studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,https://ahrefs.com/blog/category/video-marketing/,https,ahrefs.com,/blog/category/video-marketing/,,,blog,category,video-marketing,,,,video-marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,https://ahrefs.com/blog/category/paid-marketing/,https,ahrefs.com,/blog/category/paid-marketing/,,,blog,category,paid-marketing,,,,paid-marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,https://ahrefs.com/blog/category/local-seo/,https,ahrefs.com,/blog/category/local-seo/,,,blog,category,local-seo,,,,local-seo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,https://ahrefs.com/blog/category/affiliate-marketing/,https,ahrefs.com,/blog/category/affiliate-marketing/,,,blog,category,affiliate-marketing,,,,affiliate-marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,https://ahrefs.com/blog/category/technical-seo/,https,ahrefs.com,/blog/category/technical-seo/,,,blog,category,technical-seo,,,,technical-seo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
